# x_m, y_m, w_tr_right_m, w_tr_left_m
4.676391071145201,3.84790025598193,1.1,1.1
4.781967830958001,3.69560461421528,1.1,1.1
4.891311093109602,3.54496007406827,1.1,1.1
5.004031597485502,3.39607292413251,1.1,1.1
5.132495179373901,3.258368344803,1.1,1.1
5.255229768686201,3.11550988966303,1.1,1.1
5.381960311925502,2.97532771305225,1.1,1.1
5.512214279526402,2.83804047139995,1.1,1.1
5.787617228321601,2.56905695116857,1.1,1.1
5.929300458107901,2.44111942119023,1.1,1.1
6.074118554843002,2.31620865918815,1.1,1.1
6.222604998425101,2.1954679865059,1.1,1.1
6.373801061586102,2.07862926130945,1.1,1.1
6.537788279631501,1.96580114441313,1.1,1.1
6.696107867962672,1.85668242107251,1.1,1.1
6.856870471328211,1.75152058979234,1.1,1.1
7.020576088067601,1.65143909886784,1.1,1.1
7.187071958000482,1.55561521268158,1.1,1.1
7.355088642297941,1.45969657501314,1.1,1.1
7.526096511512241,1.37314356297502,1.1,1.1
7.699070428069961,1.29125902267466,1.1,1.1
7.873872749626971,1.21408631793115,1.1,1.1
8.05073486720105,1.14256590976738,1.1,1.1
8.22962958657969,1.07583154994738,1.1,1.1
8.421627697421801,1.01709525205388,1.1,1.1
8.60693625532869,0.96005617505081,1.1,1.1
8.982800215485431,0.856109031632574,1.1,1.1
9.17845000115399,0.789481798594217,1.1,1.1
9.370732087546221,0.744603241997193,1.1,1.1
9.564296475096612,0.702970457269,1.1,1.1
9.759313234820691,0.66472914621632,1.1,1.1
9.956243261278152,0.62950045756792,1.1,1.1
10.157276411319762,0.595503328734989,1.1,1.1
10.357262236294721,0.564918096831485,1.1,1.1
10.558176655683042,0.536715111271873,1.1,1.1
10.760049419225162,0.510828522863997,1.1,1.1
10.962914287342972,0.487457669930076,1.1,1.1
11.181229586259802,0.463627223214532,1.1,1.1
11.388219972691651,0.442735287547924,1.1,1.1
11.59617579505549,0.424596102583029,1.1,1.1
11.805334501693151,0.407300167860803,1.1,1.1
12.015588905605451,0.391420206443948,1.1,1.1
12.23469547491851,0.383650428788669,1.1,1.1
12.448534272526121,0.370509207202187,1.1,1.1
12.663207765988242,0.360307407704152,1.1,1.1
12.87920968364817,0.35089177980425,1.1,1.1
13.106358505580632,0.337712005165366,1.1,1.1
13.326310230068051,0.329339817233709,1.1,1.1
13.547171241226101,0.321649092305567,1.1,1.1
13.769412281130261,0.314971945159512,1.1,1.1
13.992802100704381,0.309062148033941,1.1,1.1
14.217100644539801,0.303334870266137,1.1,1.1
14.44544795661217,0.305087497906871,1.1,1.1
14.67119592502858,0.30074608114622,1.1,1.1
14.896813338810452,0.296244271698483,1.1,1.1
15.1225712230178,0.29159024416994,1.1,1.1
15.34858698134559,0.28701992859908,1.1,1.1
15.590386806226032,0.284464542862998,1.1,1.1
15.81877254764007,0.279150121090921,1.1,1.1
16.04728973790893,0.273839388087922,1.1,1.1
16.276218257170395,0.268560002048105,1.1,1.1
16.50523396535078,0.263289359863839,1.1,1.1
16.744190062865805,0.255086092199227,1.1,1.1
16.974547865405412,0.24855177764756,1.1,1.1
17.2048011256765,0.243109620169013,1.1,1.1
17.435158257313724,0.236978174611744,1.1,1.1
17.66558454788882,0.230164574352965,1.1,1.1
17.90970525414304,0.229187146378589,1.1,1.1
18.14129693923467,0.223521719775387,1.1,1.1
18.37329666468997,0.217076919814876,1.1,1.1
18.60573322759632,0.210101551387167,1.1,1.1
18.838655897239942,0.204487452399859,1.1,1.1
19.07253897386823,0.197985238037066,1.1,1.1
19.31170988652219,0.197539087069039,1.1,1.1
19.54840578229168,0.191689577934732,1.1,1.1
19.785575723529213,0.185755488407212,1.1,1.1
20.02344198328386,0.179077096498226,1.1,1.1
20.27200545407226,0.172705940818292,1.1,1.1
20.51239570982675,0.166618227122705,1.1,1.1
20.75294360828072,0.160943558173212,1.1,1.1
20.994067410525222,0.15447520952971,1.1,1.1
21.23536674045279,0.14770984325741,1.1,1.1
21.48754757421691,0.148126714213807,1.1,1.1
21.73208584591455,0.142226523629437,1.1,1.1
21.977037724620402,0.135378745953577,1.1,1.1
22.22180032807251,0.128970676390268,1.1,1.1
22.47274752837448,0.124011706680491,1.1,1.1
22.719606037110303,0.116973732493751,1.1,1.1
22.96694585811464,0.109690752619293,1.1,1.1
23.21419538854403,0.102853986237811,1.1,1.1
23.461334594600142,0.0958374244572896,1.1,1.1
23.708508314126803,0.0885619526233246,1.1,1.1
23.96638253797242,0.0911245396335611,1.1,1.1
24.21501725474549,0.085489101405291,1.1,1.1
24.46347720603811,0.0789788812265499,1.1,1.1
24.71076445246114,0.0733733612629762,1.1,1.1
24.967326586865422,0.0732337743553364,1.1,1.1
25.214661222211163,0.0683789105954812,1.1,1.1
25.46177188030938,0.0633423399984215,1.1,1.1
25.708348189986943,0.057829798107435,1.1,1.1
25.95455881653235,0.053295377970465,1.1,1.1
26.19997257561237,0.0483987030459987,1.1,1.1
26.453392137887132,0.047861003013035,1.1,1.1
26.6993101818371,0.0428299300133432,1.1,1.1
26.9450376345738,0.0383658093240456,1.1,1.1
27.1901284164562,0.0337572629721865,1.1,1.1
27.434757826803,0.0290239752573581,1.1,1.1
27.687890308646203,0.0290340148450098,1.1,1.1
27.9336103941285,0.024081074874407,1.1,1.1
28.179276999495702,0.0196989521395016,1.1,1.1
28.424454621292,0.0150350684965232,1.1,1.1
28.6695441831354,0.0111394587674264,1.1,1.1
28.914798987652404,0.0068601368627647,1.1,1.1
29.174767107349503,0.0101195271104761,1.1,1.1
29.4227874250769,0.0068480269745627,1.1,1.1
29.671454712775702,0.003103415355594,1.1,1.1
29.9210034190871,-0.0008167043481501,1.1,1.1
30.1785609707185,0.0026789762169557,1.1,1.1
30.4299789431887,0.000176051880022,1.1,1.1
30.6816869242651,-0.0026880026785774,1.1,1.1
30.9335454672259,-0.0061357054182179,1.1,1.1
31.1858414054784,-0.0088176169652265,1.1,1.1
31.450977299095502,-0.0040444756822821,1.1,1.1
31.7059658505492,-0.0064672540512625,1.1,1.1
31.9614839275421,-0.0086291422408795,1.1,1.1
32.2178201667519,-0.0104330220246305,1.1,1.1
32.4832747943688,-0.0126877075813231,1.1,1.1
32.7416360487522,-0.0148778007926386,1.1,1.1
33.0009205551951,-0.01635290750156,1.1,1.1
33.2607229236784,-0.0175547496590954,1.1,1.1
33.5211407747531,-0.0196745528529359,1.1,1.1
33.782270479497,-0.0217759030522855,1.1,1.1
34.052139864668604,-0.0111468080248908,1.1,1.1
34.315761398325506,-0.0112554494988512,1.1,1.1
34.5798495165437,-0.0110956362586994,1.1,1.1
34.8443942685248,-0.0108593632708268,1.1,1.1
35.108503238025705,-0.0111179202598462,1.1,1.1
35.3827675136491,-0.0091662600856956,1.1,1.1
35.6475538204673,-0.0086533921480989,1.1,1.1
35.9123217038605,-0.008422730205615,1.1,1.1
36.1766899009023,-0.0082232950548249,1.1,1.1
36.4407054621943,-0.0082327399338858,1.1,1.1
36.7157133350531,-0.0066218168499796,1.1,1.1
36.9804710698253,-0.0067067042069891,1.1,1.1
37.2448593570529,-0.0062882563965581,1.1,1.1
37.5091155157366,-0.0064215145173924,1.1,1.1
37.7791919422935,0.003723522376803,1.1,1.1
38.0433138401546,0.0050847170362163,1.1,1.1
38.3072298950659,0.0064796380931862,1.1,1.1
38.570636995714,0.0072245853358123,1.1,1.1
38.8337508480409,0.0074314636796521,1.1,1.1
39.0959611139411,0.0079404424980138,1.1,1.1
39.3575601657055,0.0076234788591366,1.1,1.1
39.6371257252121,0.0208225821490513,1.1,1.1
39.9011522585076,0.0217078843603279,1.1,1.1
40.1647451877467,0.0237693370364393,1.1,1.1
40.4280118926872,0.0243055188446019,1.1,1.1
40.699550373562005,0.0221247431707352,1.1,1.1
40.9631033179724,0.0227734540700836,1.1,1.1
41.2267300969852,0.0229171903697142,1.1,1.1
41.4899136096343,0.0223738955788152,1.1,1.1
41.7529918866851,0.0223737385721682,1.1,1.1
42.0242478348445,0.0359565842262223,1.1,1.1
42.2881922185308,0.0365883015146685,1.1,1.1
42.551485562471,0.0372717350117548,1.1,1.1
42.8138571773257,0.0377536354740664,1.1,1.1
43.0822136979803,0.0439581279561491,1.1,1.1
43.3442340678522,0.0451965313114327,1.1,1.1
43.6053196664208,0.0463977588883557,1.1,1.1
43.8654086216003,0.0468007957137178,1.1,1.1
44.1246092009327,0.0471611224141346,1.1,1.1
44.3829058062028,0.0477503097474343,1.1,1.1
44.6511157178455,0.0519689601436694,1.1,1.1
44.9092500057544,0.0524708750593179,1.1,1.1
